word,len
l ɔː0 j,3
l ɔː0 f,3
l ɔː0 s,3
l ɛː0 ɾ,3
l ɛː0 s,3
l ɛː0 ɡ,3
l ɛː0 l,3
l ɛː0 f,3
l ɛː0,2
l ɛː0 p,3
l ɛː0 b,3
l ɛː0 k,3
l a0 n,3
l a0 kː,3
l a0 l,3
l a0 w,3
l a0 ɲ,3
l a0 b,3
l a0 m,3
l a0 ᵐb,3
l a0 ɡ n,4
l a0 x,3
l a0 ᵑɡ,3
l a0 d j,4
l a0 k,3
l u0 j,3
l u0 m,3
l u0 ᵐb,3
l u0 pː,3
l ɔ0 l,3
l ɔ0 ɾ,3
l ɔ0 x,3
l ɔ0,2
l ɔ0 tː,3
l ɔ0 dʒ,3
l ɔ0 j,3
l i0 j,3
l i0 m,3
l i0 ɲ,3
l i0 w,3
l iː0 ɾ,3
l iː0 t,3
l ə0 f,3
l ə0 mː,3
l ə0 l,3
l ə0,2
l ə0 n t,4
l ə0 ɡ,3
l uː0,2
l e0 tː,3
k ɔː0,2
k ɔː0 ɾ,3
k ɔː0 k,3
k ɔː0 m,3
k ɔː0 j,3
k ɔː0 ɡ,3
k e0 pː,3
k e0 nː,3
k u0 j,3
k iː0,2
k a0 t,3
k a0 n,3
k a0,2
k a0 j,3
k a0 ɲ,3
k a0 ɡ n,4
k a0 f,3
k a0 ɾ,3
k a0 tʃː,3
k i0 j,3
k i0 s,3
k ɛ0 pː,3
k ɛ0 m,3
k ɛ0 ɾ,3
k ɛ0 n,3
k ɛ0 j,3
k ɛ0,2
k ɛ0 l,3
k ɔ0 w,3
k ɔ0 ɲ,3
k ɔ0 tʃː,3
k ɔ0 ɡ n,4
k ɔ0 l,3
k ɔ0 ɾ t,4
k ɔ0 ɾ,3
k ɔ0 m,3
k ɔ0 k,3
k ɔ0 s,3
k ɔ0 tː,3
k aː0 ᵐb,3
k aː0 j,3
k aː0 s,3
k aː0,2
k uː0 j,3
k uː0 s,3
k ə0 f,3
k ə0 lː,3
k ə0 pː,3
k ɛː0,2
k ɛː0 s,3
k ɾ i0 s t,5
f ɛ0 kː,3
f ɛ0 j,3
f ɛ0 n,3
f ɛ0 n t,4
f ɛ0 n k,4
f ɛ0 nː,3
f ɛ0 tʃː,3
f ɛ0 pː,3
f ɛ0 ɡ,3
f ɛ0 tː,3
f ɛ0 k,3
f aː0 wː,3
f aː0 nː,3
f aː0,2
f aː0 l,3
f aː0 dː,3
f aː0 t,3
f aː0 tʃː,3
f aː0 q,3
f aː0 ŋː,3
f aː0 ɾ,3
f aː0 s,3
f u0,2
f u0 kː,3
f u0 m,3
f u0 l,3
f a0 n,3
f a0 n q,4
f a0 s,3
f a0 j,3
f a0 l,3
f a0 ɾ,3
f a0 dʒ,3
f a0 b,3
f a0 f,3
f a0 t,3
f a0 lː,3
f a0 tː,3
f a0 wː,3
f a0 w,3
f a0 nː,3
f iː0,2
