word,len
k u0 s eː0,4
k u0 s u0,4
k u0 s u0 m,5
k u0 ʋ eː0 ʈ,5
k u0 ʋ i0 s,5
k u0 ʋ i0 n,5
k u0 ʋ i0,4
k u0 ʈː a0 m,5
k u0 ʈː i0,4
k u0 k u0 l,5
k u0 k u0,4
k u0 k u0 t̪,5
k u0 ʃ aː0 n,5
k o0 ʈ a0,4
k o0 ʈ a0 s,5
k o0 ʈ a0 r,5
k o0 ʈ a0 k,5
k o0 ʈ i0,4
k o0 ʈ u0,4
k o0 ʈ aː0,4
k o0 ʈ eː0 dʒ,5
k o0 l a0,4
k o0 l a0 r,5
k o0 l a0 k,5
k o0 l a0 t̪,5
k o0 l a0 s,5
k o0 l i0 s,5
k o0 l i0 n,5
k o0 l i0 n s,6
k o0 l i0,4
k o0 l i0 ʋ,5
k o0 l i0 p,5
k o0 l ʋ i0 n,6
k o0 l e0 dʒ,5
k o0 l o0 s,5
k o0 l o0 k,5
k o0 l o0,4
k o0 r a0,4
k o0 r a0 l,5
k o0 r a0 n s,6
k o0 r i0,4
k o0 r i0 s,5
k o0 j i0,4
k o0 j i0 ɖ,5
k o0 j i0 l,5
k o0 j i0 s,5
k o0 lː a0,4
k o0 lː aː0,4
k o0 ʋ uː0,4
k o0 ʋ uː0 r,5
k o0 d̪ e0 ʋ,5
k o0 d̪ u0,4
k o0 d̪ u0 n,5
k o0 h eː0,4
k o0 s m i0 k,6
k o0 s o0 n,5
k o0 s o0 l,5
k o0 n ɖ aː0,5
k o0 n g oː0,5
k o0 n k r iː0 ʈ,7
k o0 n t̪ r aː0 t̪,7
k o0 n d̪ a0,5
k o0 n ʈ a0 m,6
k o0 ʈː eː0,4
k o0 t̪ e0 k,5
k o0 t̪ e0 n,5
k o0 t̪ a0,4
k o0 t̪ a0 k,5
k o0 ɖ i0,4
k o0 k aː0,4
k o0 k u0,4
k o0 m p a0,5
k o0 m p oː0 s ʈ,7
k o0 m p eː0,5
k o0 b oː0,4
k o0 b oː0 l ʈ,6
k o0 p u0,4
k o0 p ʈ i0 k,6
k o0 kː a0,4
k o0 kː a0 k,5
k o0 ⁿd̪ u0,4
k e0 s eː0,4
k e0 s eː0 t̪,5
k e0 s eː0 dʒ,5
k e0 s e0 l,5
k e0 r eː0,4
k e0 r iː0,4
k e0 r iː0 m,5
k e0 r e0 n,5
